Time          1.0                  2.0                  3.0                  4.0                  4.5       
         X          U         X          U         X          U         X          U         X          U   
    -20.000000  1.000000 -20.000000  1.000000 -20.000000  1.000000 -20.000000  1.000000 -20.000000  1.000000
    -19.300000  1.000000 -19.300000  1.000000 -19.300000  1.000000 -19.300000  1.000000 -19.300000  1.000000
    -18.600000  1.000000 -18.600000  1.000000 -18.600000  1.000000 -18.600000  1.000000 -18.600000  1.000000
    -17.900000  1.000000 -17.900000  1.000000 -17.900000  1.000000 -17.900000  1.000000 -17.900000  1.000000
    -17.200000  1.000000 -17.200000  1.000000 -17.200000  1.000000 -17.200000  1.000000 -17.200000  1.000000
    -16.500000  1.000000 -16.500000  1.000000 -16.500000  1.000000 -16.500000  1.000000 -16.500000  1.000000
    -15.800000  1.000000 -15.800000  1.000000 -15.800000  1.000000 -15.800000  1.000000 -15.800000  1.000000
    -15.100000  1.000000 -15.100000  1.000000 -15.100000  1.000000 -15.100000  1.000000 -15.100000  1.000000
    -14.400000  1.000000 -14.400000  1.000000 -14.400000  1.000000 -14.400000  1.000000 -14.400000  1.000000
    -13.700000  1.000000 -13.700000  1.000000 -13.700000  1.000000 -13.700000  1.000000 -13.700000  1.000000
    -13.000000  1.000000 -13.000000  1.000000 -13.000000  1.000000 -13.000000  1.000000 -13.000000  1.000000
    -12.300000  1.000000 -12.300000  1.000000 -12.300000  1.000000 -12.300000  1.000000 -12.300000  1.000000
    -11.600000  1.000000 -11.600000  1.000000 -11.600000  1.000000 -11.600000  1.000000 -11.600000  1.000000
    -10.900000  1.000000 -10.900000  1.000000 -10.900000  1.000000 -10.900000  1.000000 -10.900000  1.000000
    -10.200000  1.000000 -10.200000  1.000000 -10.200000  1.000000 -10.200000  1.000000 -10.200000  1.000000
     -9.500000  1.000000  -9.500000  1.000000  -9.500000  1.000000  -9.500000  1.000000  -9.500000  1.000000
     -8.800000  1.000000  -8.800000  1.000000  -8.800000  1.000000  -8.800000  1.000000  -8.800000  1.000000
     -8.100000  1.000000  -8.100000  1.000000  -8.100000  1.000000  -8.100000  1.000000  -8.100000  1.000000
     -7.400000  1.000000  -7.400000  1.000000  -7.400000  1.000000  -7.400000  1.000000  -7.400000  1.000000
     -6.700000  1.000000  -6.700000  1.000000  -6.700000  1.000000  -6.700000  1.000000  -6.700000  1.000000
     -6.000000  1.000000  -6.000000  1.000000  -6.000000  1.000000  -6.000000  1.000000  -6.000000  1.000000
     -5.300000  1.000000  -5.300000  1.000000  -5.300000  1.000000  -5.300000  1.000000  -5.300000  1.000000
     -4.600000  1.000000  -4.600000  1.000000  -4.600000  1.000000  -4.600000  1.000000  -4.600000  1.000000
     -3.900000  1.000000  -3.900000  1.000000  -3.900000  1.000000  -3.900000  1.000000  -3.900000  1.000000
     -3.200000  1.000000  -3.200000  1.000000  -3.200000  1.000000  -3.200000  1.000000  -3.200000  1.000000
     -2.500000  1.000000  -2.500000  1.000000  -2.500000  1.000000  -2.500000  1.000000  -2.500000  1.000000
     -1.800000  1.000000  -1.800000  1.000000  -1.800000  1.000000  -1.800000  1.000000  -1.800000  1.000000
     -1.100000  1.000000  -1.100000  1.000000  -1.100000  1.000000  -1.100000  1.000000  -1.100000  1.000000
